a,b,theta,R3,R4,cx,cy,cz,status
7.9,5.9,26.5,-0.25,-0.5,-1.6,-2.1,11.7,NotYet
7.9,5.9,26.5,-0.25,-0.5,0,-2.4,11.8,NotYet
7.9,5.9,26.5,-0.25,-0.5,1.6,-2.1,11.7,NotYet
7.9,5.9,26.5,-0.3,-0.5,-1.6,-2.1,11.7,NotYet
7.9,5.9,26.5,-0.3,-0.5,0,-2.4,11.8,NotYet
7.9,5.9,26.5,-0.3,-0.5,1.7,-2,11.7,NotYet
