a,b,theta,R3,R4,cx,cy,cz,status
7.7,5.9,26.5,-0.2,-0.5,0.8,-2.4,11.9,NotYet
7.7,5.9,26.5,-0.25,-0.5,0.8,-2.4,11.9,NotYet
