a,b,theta,R3,R4,status
7.3,5.9,25.5,0.0,-2.3,NotYet
7.3,5.9,25.5,-1.9,-2.1,NotYet
7.3,5.9,25.5,1.8,-0.1,NotYet
7.3,5.9,25.5,0.0,0.0,NotYet
7.3,5.9,25.5,-1.9,0.2,NotYet
7.3,5.9,25.5,1.9,2.1,NotYet
7.3,5.9,25.5,0.0,2.3,NotYet
