X,Y,Z,R
-0.083198425,-1.973401185,-0.683726435,1.8
0.00585133,1.979726247,0.691853801,1.8
0.012214879,-1.367230786,-3.408085327,1.7
0.030080404,-0.437469521,-4.436746259,1.7
0.012927152,0.920150792,-4.101607845,1.7
-0.025816768,1.356700656,-2.813382416,1.7
-0.012160865,-1.357324519,2.813045338,1.7
0.027889923,-0.931651843,4.103984612,1.7
0.032885609,0.433156758,4.411121915,1.7
0.011160817,1.375083555,3.414676172,1.7
-0.017725305,0.951405948,2.101658317,1.7
-0.037344869,-0.42732895,1.771919384,1.7
-0.063023677,-0.581550691,0.353605283,1.7
-0.043590726,0.593948756,-0.35355478,1.7
-0.032892079,0.430459499,-1.76571265,1.7
0.040871687,-2.43629544,-3.639137436,1.2
0.033856001,1.653059978,-4.913942367,1.2
-0.031977288,2.426373332,-2.588545563,1.2
-0.020360074,-2.425203465,2.578251042,1.2
0.051451566,-1.661398406,4.916451141,1.2
0.05896751,0.751553323,5.455455171,1.2
0.023086926,2.441047862,3.654159317,1.2
-0.036301711,-0.94502299,-2.097762777,1.7
0.16089366,-0.903942452,-5.871464957,1.7
