cx,cy,cz,a,b,theta,R3,R4,A2,status
1.6,-1,18.2,7.3,5.9,25.5,2.2,2.1,-0.1,NotYet
1.6,-1,18.2,7.3,5.9,25.5,2.2,2.1,-0.2,NotYet
1.6,-1,18.2,7.3,5.9,25.5,2.2,2.1,-0.3,NotYet
1.6,-1,18.2,7.3,5.9,25.5,2.2,2.1,-0.4,NotYet
