a,b,theta,R3,R4,cx,cy,cz,status
7.7,5.9,26.5,-0.2,-0.5,0,-10.6,-30.8,NotYet
7.7,5.9,26.5,-0.25,-0.5,0,-10.6,-30.8,NotYet
7.7,5.9,26.5,-0.2,-0.5,-2.4,-13.7,-30.2,NotYet
7.7,5.9,26.5,-0.25,-0.5,-2.4,-13.7,-30.2,NotYet
7.7,5.9,26.5,-0.2,-0.5,1.7,-11,-30.5,NotYet
7.7,5.9,26.5,-0.25,-0.5,1.7,-11,-30.5,NotYet
