a,b,theta,R3,R4,A1,A2,E,E_p,E_t1,E_t2,machine_type,status,file_name
7.4,5.8,25.5,2.1,1.9,0,-2.5,-55.220305201248266,-7.8215130537282676,-9.692342502297834,-10.096297044598032,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.4_b=5.8_cx=0_cy=0_cz=0.log
7.4,5.9,25.5,2.1,1.9,0,-1.0,-55.61383805738296,-7.524377028574236,-9.803799573273864,-10.478742426843382,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.0_a=7.4_b=5.9_cx=0_cy=0_cz=0.log
7.3,5.9,25.5,2.1,1.9,0,-0.5,-55.83239602542017,-7.528822309337556,-9.8323268055683,-10.555048897804229,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-0.5_a=7.3_b=5.9_cx=0_cy=0_cz=0.log
7.3,5.9,25.5,2.1,1.9,0,0.0,-55.760477104224265,-7.52565087378025,-9.790836471831426,-10.563751206500456,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=0.0_a=7.3_b=5.9_cx=0_cy=0_cz=0.log
7.4,5.9,25.5,2.1,1.9,0,-1.5,-55.430716834031045,-7.513262571417727,-9.795072791865095,-10.4070230537327,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.5_a=7.4_b=5.9_cx=0_cy=0_cz=0.log
7.4,5.9,25.5,2.1,1.9,0,-2.0,-55.13796835870016,-7.496431498089805,-9.76796812482644,-10.304584556433838,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.0_a=7.4_b=5.9_cx=0_cy=0_cz=0.log
7.4,5.9,25.5,2.1,1.9,0,-2.5,-54.742450060439296,-7.4747974631609395,-9.72378389077494,-10.17264367628377,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.4_b=5.9_cx=0_cy=0_cz=0.log
7.4,6.0,25.5,2.1,1.9,0,-1.0,-54.89421837416012,-7.159743517753668,-9.79918423719937,-10.48818143212702,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.0_a=7.4_b=6.0_cx=0_cy=0_cz=0.log
7.3,6.0,25.5,2.1,1.9,0,-0.5,-55.312704793643206,-7.187750544049777,-9.866389930830335,-10.602211921941487,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-0.5_a=7.3_b=6.0_cx=0_cy=0_cz=0.log
7.3,6.0,25.5,2.1,1.9,0,0.0,-55.30513576744124,-7.211815552436747,-9.830140560516156,-10.61061177076772,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=0.0_a=7.3_b=6.0_cx=0_cy=0_cz=0.log
